INSTRUMENT_TYPE;TRADE_CODE;EMITENT_FULL_NAME;NOMINAL;CURRENCY;ISSUE_AMOUNT;DISCLOSURE_PART_PAGE;DISCLOSURE_RF_INFO_PAGE
Акция обыкновенная;DGBZ;"Публичное акционерное общество ""Дорогобуж""";0,25;Рубль;875439260;;http://www.e-disclosure.ru/portal/company.aspx?id=321
Акция обыкновенная;UTSY;"Публичное акционерное общество ""Единые Техно Системы""";1;Рубль;430000000;;http://www.e-disclosure.ru/portal/company.aspx?id=32499
Акция обыкновенная;ZVEZ;"Публичное акционерное общество ""ЗВЕЗДА""";0,1;Рубль;562020480;;http://disclosure.1prime.ru/portal/default.aspx?emId=7811038760
Акция обыкновенная;ZILL;"Публичное акционерное общество ""Завод имени И.А. Лихачева""";1000;Рубль;2659962;;http://www.e-disclosure.ru/portal/company.aspx?id=3649
Акция обыкновенная;ZMZN;"Публичное акционерное общество ""Заволжский моторный завод""";1;Рубль;112734490;;http://disclosure.1prime.ru/portal/default.aspx?emId=5248004137
Акция привилегированная;ZMZNP;"Публичное акционерное общество ""Заволжский моторный завод""";1;Рубль;37578123;;http://disclosure.1prime.ru/portal/default.aspx?emId=5248004137
Акция обыкновенная;IDJT;"Публичное акционерное общество ""ИДЖАТ""";100;Рубль;72907930;;http://www.e-disclosure.ru/portal/company.aspx?id=15960
Акция обыкновенная;IDVP;"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""";1000;Рубль;2110524;;http://disclosure.skrin.ru/disclosure/7714933728
Акция обыкновенная;ISKJ;"Публичное акционерное общество ""Институт Стволовых Клеток Человека""";0,1;Рубль;75000000;;http://www.e-disclosure.ru/portal/company.aspx?id=7814
Акция привилегированная;TGKDP;"Публичное акционерное общество ""Квадра - Генерирующая компания""";0,01;Рубль;75272938838;www.quadra.ru;http://www.e-disclosure.ru/portal/company.aspx?id=6196
Акция обыкновенная;KOGK;"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""";1;Рубль;250126;;http://www.e-disclosure.ru/portal/company.aspx?id=3552
Акция обыкновенная;KMTZ;"Публичное акционерное общество ""Косогорский металлургический завод""";1;Рубль;28416095;;http://www.e-disclosure.ru/portal/company.aspx?id=6312
Акция обыкновенная;KTSB;"Публичное акционерное общество ""Костромская сбытовая компания""";0,04;Рубль;868998400;;http://www.e-disclosure.ru/portal/company.aspx?id=5963
Акция привилегированная;KTSBP;"Публичное акционерное общество ""Костромская сбытовая компания""";0,04;Рубль;136333440;;http://www.e-disclosure.ru/portal/company.aspx?id=5963
Акция обыкновенная;KRSG;"Публичное акционерное общество ""Красноярская ГЭС""";1;Рубль;391105645;;http://disclosure.skrin.ru/disclosure/2446000322
Акция обыкновенная;KRSB;"Публичное акционерное общество ""Красноярскэнергосбыт""";0,02;Рубль;596039612;;http://www.e-disclosure.ru/portal/company.aspx?id=8880
Акция привилегированная;KRSBP;"Публичное акционерное общество ""Красноярскэнергосбыт""";0,02;Рубль;168993328;;http://www.e-disclosure.ru/portal/company.aspx?id=8880
Акция привилегированная;KGKCP;"Публичное акционерное общество ""Курганская генерирующая компания""";7,2;Рубль;14393052;http://www.kgk-kurgan.ru/Aktsioneram_i_investoram/Raskryivaet_informatsii_na_stranitse_na_sayte_Interfaks_TSRKI/;http://www.e-disclosure.ru/portal/company.aspx?id=17935
Акция обыкновенная;MNFD;"Публичное акционерное общество ""МН-фонд""";1;Рубль;51000000;;http://www.e-disclosure.ru/portal/company.aspx?id=2392
Акция обыкновенная;ODVA;"Публичное акционерное общество ""Медиахолдинг""";0,001;Рубль;700000000;;http://www.e-disclosure.ru/portal/company.aspx?id=13312
Акция обыкновенная;MRKK;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северного Кавказа""";1;Рубль;154562275;;http://disclosure.skrin.ru/disclosure/2632082033
Акция обыкновенная;MRSB;"Публичное акционерное общество ""Мордовская энергосбытовая компания""";0,0136;Рубль;1345037710;;http://www.e-disclosure.ru/portal/company.aspx?id=5754
Акция обыкновенная;MORI;"Публичное акционерное общество ""Морион""";1;Рубль;164640000;;http://www.disclosure.ru/issuer/5905000038/
Акция обыкновенная;MGTS;"Публичное акционерное общество ""Московская городская телефонная сеть""";40;Рубль;79746311;;http://www.e-disclosure.ru/portal/company.aspx?id=1017
Акция привилегированная;MGTSP;"Публичное акционерное общество ""Московская городская телефонная сеть""";40;Рубль;15574492;;http://www.e-disclosure.ru/portal/company.aspx?id=1017
Акция обыкновенная;MUGS;"Публичное акционерное общество ""Мурманская ТЭЦ""";0,6;Рубль;357158757;;http://www.e-disclosure.ru/portal/company.aspx?id=8231
Акция привилегированная;MUGSP;"Публичное акционерное общество ""Мурманская ТЭЦ""";0,6;Рубль;118405759;;http://www.e-disclosure.ru/portal/company.aspx?id=8231
Акция обыкновенная;IRKT;"Публичное акционерное общество ""Научно-производственная корпорация ""Иркут""";3;Рубль;1166009086;http://www.irkut.com/investors-and-shareholders/;http://www.e-disclosure.ru/portal/company.aspx?id=7985
Акция обыкновенная;SATR;"Публичное акционерное общество ""Научно-производственное объединение ""Сатурн""";1;Рубль;36933657650;;http://www.e-disclosure.ru/portal/company.aspx?id=2348
Акция обыкновенная;NFAZ;"Публичное акционерное общество ""Нефтекамский автозавод""";1;Рубль;8038896;;http://www.e-disclosure.ru/portal/company.aspx?id=227
Акция обыкновенная;NKSH;"Публичное акционерное общество ""Нижнекамскшина""";1;Рубль;63731171;;http://www.e-disclosure.ru/portal/company.aspx?id=152
Акция обыкновенная;OMSH;"Публичное акционерное общество ""Омскшина""";1;Рубль;1010724;;http://www.e-disclosure.ru/portal/company.aspx?id=2573
Акция обыкновенная;PRTK;"Публичное акционерное общество ""ПРОТЕК""";0,01;Рубль;527142857;www.protek-group.ru;www.e-disclosure.ru/portal/company.aspx?id=13943
Акция обыкновенная;PAZA;"Публичное акционерное общество ""Павловский автобус""";415;Рубль;1567904;;http://www.e-disclosure.ru/portal/company.aspx?id=3638
Акция обыкновенная;MERF;"Публичное акционерное общество ""Первый инвестиционный фонд недвижимости МЕРИДИАН""";0,1;Рубль;523220826;;http://www.e-disclosure.ru/portal/company.aspx?id=13756
Акция обыкновенная;PMSB;"Публичное акционерное общество ""Пермская энергосбытовая компания""";3,25;Рубль;36210960;;http://www.e-disclosure.ru/portal/company.aspx?id=7344
Акция привилегированная;PMSBP;"Публичное акционерное общество ""Пермская энергосбытовая компания""";3,25;Рубль;11353500;;http://www.e-disclosure.ru/portal/company.aspx?id=7344
Акция обыкновенная;PLSM;"Публичное акционерное общество ""Плазмек""";0,001;Рубль;100000000;;http://www.e-disclosure.ru/portal/company.aspx?id=29198
Акция обыкновенная;UTII;"Публичное акционерное общество ""Платформа ЮТИНЕТ.РУ""";0,1;Рубль;22000000;;http://e-disclosure.azipi.ru/organization/1092260/
Акция обыкновенная;PRIM;"Публичное акционерное общество ""Приморское морское пароходство""";1;Рубль;796392000;;http://www.e-disclosure.ru/portal/company.aspx?id=1609
Акция привилегированная;VRAOP;"Публичное акционерное общество ""РАО Энергетические системы Востока""";0,5;Рубль;2075149384;http://www.rao-esv.ru/shareholders-and-investors/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=13497
Акция обыкновенная;ROST;"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""";169,7;Рубль;16305334;;http://www.e-disclosure.ru/portal/company.aspx?id=9038
Акция обыкновенная;RKKE;"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""";1000;Рубль;1123734;;http://www.e-disclosure.ru/portal/company.aspx?id=1615
Акция привилегированная;RODNP;"Публичное акционерное общество ""Родина""";1;Рубль;1000000;;http://www.e-disclosure.ru/portal/company.aspx?id=5024
Акция обыкновенная;RUGR;"Публичное акционерное общество ""Русгрэйн Холдинг""";1;Рубль;42984000;;http://disclosure.skrin.ru/disclosure/7706533405
Акция обыкновенная;ROLO;"Публичное акционерное общество ""Русолово""";1;Рубль;3000100000;;http://www.e-disclosure.ru/portal/company.aspx?id=31422
Акция обыкновенная;RUSP;"Публичное акционерное общество ""Русполимет""";0,03;Рубль;5012985740;;http://www.e-disclosure.ru/portal/company.aspx?id=7466
Акция обыкновенная;RZSB;"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""";0,05;Рубль;206940220;;http://www.e-disclosure.ru/portal/company.aspx?id=5422
Акция обыкновенная;KRKN;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";1;Рубль;748012;;http://www.e-disclosure.ru/portal/company.aspx?id=3707
Акция привилегированная;KRKNP;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";1;Рубль;249337;;http://www.e-disclosure.ru/portal/company.aspx?id=3707
Акция обыкновенная;SARE;"Публичное акционерное общество ""Саратовэнерго""";0,02;Рубль;4865127996;;http://www.e-disclosure.ru/portal/company.aspx?id=3346
Акция привилегированная;SAREP;"Публичное акционерное общество ""Саратовэнерго""";0,02113;Рубль;1493316000;;http://www.e-disclosure.ru/portal/company.aspx?id=3346
Акция обыкновенная;SZPR;"Публичное акционерное общество ""Северо-Западное пароходство""";12,5;Рубль;10514630;;http://www.e-disclosure.ru/portal/company.aspx?id=2090
Акция обыкновенная;STSB;"Публичное акционерное общество ""Ставропольэнергосбыт""";0,004833322;Рубль;859074636;;http://www.e-disclosure.ru/portal/company.aspx?id=7416
Акция привилегированная;STSBP;"Публичное акционерное общество ""Ставропольэнергосбыт""";0,004833322;Рубль;262100364;;http://www.e-disclosure.ru/portal/company.aspx?id=7416
Акция обыкновенная;VTGK;"Публичное акционерное общество ""Т Плюс""";1;Рубль;44462846593;http://www.tplusgroup.ru/ir/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=9480
Акция обыкновенная;VRSB;"Публичное акционерное общество ""ТНС энерго Воронеж""";0,4;Рубль;56151024;;http://www.e-disclosure.ru/portal/company.aspx?id=4717
Акция привилегированная;VRSBP;"Публичное акционерное общество ""ТНС энерго Воронеж""";0,4;Рубль;18716678;;http://www.e-disclosure.ru/portal/company.aspx?id=4717
Акция обыкновенная;MISB;"Публичное акционерное общество ""ТНС энерго Марий Эл""";0,1;Рубль;121847780;;http://www.e-disclosure.ru/portal/company.aspx?id=6070
Акция привилегированная;MISBP;"Публичное акционерное общество ""ТНС энерго Марий Эл""";0,1;Рубль;10652220;;http://www.e-disclosure.ru/portal/company.aspx?id=6070
Акция обыкновенная;NNSB;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";11,88;Рубль;3919400;http://www.nsk.elektra.ru;http://www.e-disclosure.ru/portal/company.aspx?id=7022
Акция привилегированная;NNSBP;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";11,88;Рубль;1063512;http://www.nsk.elektra.ru;http://www.e-disclosure.ru/portal/company.aspx?id=7022
Акция обыкновенная;RTSB;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";0,02;Рубль;8128764676;;http://www.e-disclosure.ru/portal/company.aspx?id=6930
Акция привилегированная;RTSBP;"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""";0,02;Рубль;925737256;;http://www.e-disclosure.ru/portal/company.aspx?id=6930
Акция обыкновенная;YRSB;"Публичное акционерное общество ""ТНС энерго Ярославль""";1;Рубль;17143584;;http://www.e-disclosure.ru/portal/company.aspx?id=6050
Акция привилегированная;YRSBP;"Публичное акционерное общество ""ТНС энерго Ярославль""";1;Рубль;4507320;;http://www.e-disclosure.ru/portal/company.aspx?id=6050
Акция обыкновенная;TASB;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";0,02;Рубль;1525986880;;http://www.e-disclosure.ru/portal/company.aspx?id=5121
Акция привилегированная;TASBP;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";0,02;Рубль;217961420;;http://www.e-disclosure.ru/portal/company.aspx?id=5121
Акция обыкновенная;TANL;"Публичное акционерное общество ""Тантал""";0,125;Рубль;14003240;;http://disclosure.skrin.ru/disclosure/6453011530
Акция привилегированная;TANLP;"Публичное акционерное общество ""Тантал""";0,125;Рубль;667744;;http://disclosure.skrin.ru/disclosure/6453011530
Акция обыкновенная;TTLK;"Публичное акционерное общество ""Таттелеком""";0,1;Рубль;20843976400;;http://www.e-disclosure.ru/portal/company.aspx?id=814
Акция обыкновенная;TORS;"Публичное акционерное общество ""Томская распределительная компания""";0,4916;Рубль;3819315580;;http://www.e-disclosure.ru/portal/company.aspx?id=7242
Акция привилегированная;TORSP;"Публичное акционерное общество ""Томская распределительная компания""";0,4916;Рубль;576693000;;http://www.e-disclosure.ru/portal/company.aspx?id=7242
Акция обыкновенная;AESL;"Публичное акционерное общество ""Торгово-промышленная группа АЭССЕЛЬ""";1,5;Рубль;10000000;;http://www.e-disclosure.ru/portal/company.aspx?id=30518
Акция обыкновенная;TUCH;"Публичное акционерное общество ""Тучковский комбинат строительных материалов""";0,0025;Рубль;39860000;;http://disclosure.1prime.ru/portal/default.aspx?emId=5075002220
Акция обыкновенная;UKUZ;"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""";0,04;Рубль;36109217;;http://www.e-disclosure.ru/portal/company.aspx?id=1411
Акция обыкновенная;URFD;"Публичное акционерное общество ""Управляющая компания Объединенных резервных фондов""";1;Рубль;70000000;;http://www.e-disclosure.ru/portal/company.aspx?id=15776
Акция обыкновенная;LIFE;"Публичное акционерное общество ""Фармсинтез""";5;Рубль;151724392,1;;http://www.e-disclosure.ru/portal/company.aspx?id=4378
Акция обыкновенная;HIMC;"Публичное акционерное общество ""Химпром""";1;Рубль;688894206;;http://www.e-disclosure.ru/portal/company.aspx?id=5727
Акция привилегированная;HIMCP;"Публичное акционерное общество ""Химпром""";1;Рубль;229631402;;http://www.e-disclosure.ru/portal/company.aspx?id=5727
Акция обыкновенная;CNTL;"Публичное акционерное общество ""Центральный телеграф""";1;Рубль;166167000;;http://www.e-disclosure.ru/portal/company.aspx?id=369
Акция привилегированная;CNTLP;"Публичное акционерное общество ""Центральный телеграф""";1;Рубль;55389000;;http://www.e-disclosure.ru/portal/company.aspx?id=369
Акция обыкновенная;PRFN;"Публичное акционерное общество ""Челябинский завод профилированного стального настила""";0,1;Рубль;838287450;;http://www.e-disclosure.ru/portal/company.aspx?id=4744
Акция обыкновенная;CHKZ;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";200;Рубль;600216;;http://www.e-disclosure.ru/portal/company.aspx?id=3306
Акция обыкновенная;CHMK;"Публичное акционерное общество ""Челябинский металлургический комбинат""";1;Рубль;3161965;;http://www.e-disclosure.ru/portal/company.aspx?id=2116
Акция обыкновенная;CHEP;"Публичное акционерное общество ""Челябинский трубопрокатный завод""";1;Рубль;472382880;;http://www.e-disclosure.ru/portal/company.aspx?id=2772
Акция обыкновенная;CLSB;"Публичное акционерное общество ""Челябэнергосбыт""";0,007;Рубль;6894914573;;http://www.e-disclosure.ru/portal/company.aspx?id=6764
Акция привилегированная;CLSBP;"Публичное акционерное общество ""Челябэнергосбыт""";0,007;Рубль;859219416;;http://www.e-disclosure.ru/portal/company.aspx?id=6764
Акция обыкновенная;CHGZ;"Публичное акционерное общество ""Черногорнефть""";0,1;Рубль;26771420;;http://www.e-disclosure.ru/portal/company.aspx?id=3867
Акция обыкновенная;UNKL;"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""";1;Рубль;599737;;http://www.e-disclosure.ru/portal/company.aspx?id=3987
Акция обыкновенная;YKEN;"Публичное акционерное общество ""Якутскэнерго""";1;Рубль;7963562986;http://yakutskenergo.ru/shareholders_and_investors/;http://e-disclosure.ru/portal/company.aspx?id=169
Акция привилегированная;YKENP;"Публичное акционерное общество ""Якутскэнерго""";1;Рубль;1332635125;http://yakutskenergo.ru/shareholders_and_investors/;http://e-disclosure.ru/portal/company.aspx?id=169
Акция привилегированная;VZRZP;"Публичное акционерное общество Банк ""Возрождение""";10;Рубль;1294505;http://www.vbank.ru/;http://www.e-disclosure.ru//portal/company.aspx?id=120
Акция обыкновенная;KUZB;"Публичное акционерное общество Банк ""Кузнецкий""";0,01;Рубль;22503490875;;http://www.e-disclosure.ru/portal/company.aspx?id=30898
Акция обыкновенная;DIOD;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";0,01;Рубль;91500000;;http://www.e-disclosure.ru/portal/company.aspx?id=10180
Акция обыкновенная;MOBB;Публичное акционерное общество МОСКОВСКИЙ ОБЛАСТНОЙ БАНК;1;Рубль;4507984112;;http://www.e-disclosure.ru/portal/company.aspx?id=26831
Акция привилегированная;OMZZP;Публичное акционерное общество Объединенные машиностроительные заводы (Группа Уралмаш-Ижора);0,1;Рубль;2750000;;http://www.e-disclosure.ru/portal/company.aspx?id=249
Акция обыкновенная;ROSB;Публичное акционерное общество РОСБАНК;10;Рубль;1551401853;http://www.rosbank.ru/ru/about/disclosure/;http://www.e-disclosure.ru/portal/company.aspx?id=2427
Акция обыкновенная;MOTZ;"Публичное акционерное общество специального машиностроения и металлургии ""Мотовилихинские заводы""";1,5;Рубль;992106324;;http://www.e-disclosure.ru/portal/company.aspx?id=688
Акция обыкновенная;KCHE;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";0,1;Рубль;41851554774;;http://www.e-disclosure.ru/portal/company.aspx?id=1409
Акция привилегированная;KCHEP;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";0,1;Рубль;183062052;;http://www.e-disclosure.ru/portal/company.aspx?id=1409
Акция обыкновенная;MAGE;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";1;Рубль;463838268;;http://www.e-disclosure.ru/portal/company.aspx?id=3566
Акция привилегированная;MAGEP;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";1;Рубль;145673254;;http://www.e-disclosure.ru/portal/company.aspx?id=3566
Акция обыкновенная;SAGO;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";0,25;Рубль;3538928532;;http://disclosure.1prime.ru/portal/default.aspx?emId=6315222985
Акция привилегированная;SAGOP;"Публичное акционерное общество энергетики и электрификации ""Самараэнерго""";0,01;Рубль;521993080;;http://disclosure.1prime.ru/portal/default.aspx?emId=6315222985
Акция обыкновенная;KUBE;Публичное акционерное общество энергетики и электрификации Кубани;100;Рубль;282868130;;http://www.e-disclosure.ru/portal/company.aspx?id=2827
Акция обыкновенная;PRMB;"акционерный коммерческий банк ""Приморье"" (публичное акционерное общество)";1000;Рубль;250000;;http://disclosure.1prime.ru/portal/default.aspx?emId=2536020789
Акция обыкновенная;KMEZ;"публичное акционерное общество ""Ковровский механический завод""";250;Рубль;2075600;;http://www.e-disclosure.ru/portal/company.aspx?id=8976
